model_name,model_file,reasoning_level,recipe_index,recipe_type,recipe_name,ground_truth_copper_mg_per_serving,predicted_copper_mg_per_serving,absolute_error,relative_error_percent,valid,failure_reason,within_10_percent,signed_error,squared_error
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,10,anytime_meals,Fish Tacos with Crunchy Slaw,0.14,0.15679925,0.016799249999999988,11.999464285714275,True,,False,0.016799249999999988,0.00028221480056249957
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,11,anytime_meals,Chicken Sausage Garden Pasta,0.04,0.1708875,0.1308875,327.21875,True,,False,0.1308875,0.017131537656249998
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,12,anytime_meals,Roasted Cauliflower Power Salad,0.12,0.195275,0.07527500000000001,62.72916666666668,True,,False,0.07527500000000001,0.005666325625000001
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,13,anytime_meals,Simple Greek Salad,0.12,0.162285,0.04228500000000002,35.23750000000002,True,,False,0.04228500000000002,0.0017880212250000014
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,14,anytime_meals,Apple-Celery Chicken Salad,0.1,0.05406,0.04594000000000001,45.94000000000001,True,,False,-0.04594000000000001,0.002110483600000001
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,15,anytime_meals,Harvest Crunch Kale & Chicken Salad,0.19,0.147285,0.042715,22.481578947368423,True,,False,-0.042715,0.0018245712250000003
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,16,desserts,Citrus-Berry Ricotta Parfaits,0.1,0.05358,0.04642,46.42,True,,False,-0.04642,0.0021548164
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,17,desserts,Crispy Rice Cereal Treats,0.02,0.015042,0.004958000000000001,24.790000000000003,True,,False,-0.004958000000000001,2.4581764000000007e-05
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,18,desserts,Carob Chip Cranberry Cookies,0.03,0.0505875,0.0205875,68.625,True,,False,0.0205875,0.0004238451562500001
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,19,desserts,Pumpkin Cinnamon Bars,0.06,0.0509814583,0.0090185417,15.030902833333334,True,,False,-0.0090185417,8.133409439463889e-05
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,20,desserts,Carob Cupcakes with Cream Cheese Frosting,0.03,0.0359,0.0059000000000000025,19.66666666666668,True,,False,0.0059000000000000025,3.481000000000003e-05
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,21,snacks,Rice Cakes with Peanut Butter and Strawberries,0.16,0.1434,0.016600000000000004,10.375000000000002,True,,False,-0.016600000000000004,0.0002755600000000001
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,22,snacks,Avocado Toast with Feta,0.23,0.0871,0.14290000000000003,62.1304347826087,True,,False,-0.14290000000000003,0.020420410000000007
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,23,snacks,Trail Mix Snack,0.1,0.1425,0.04249999999999998,42.499999999999986,True,,False,0.04249999999999998,0.0018062499999999984
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,24,snacks,Almond Butter Apple Snack,0.14,0.12114,0.018860000000000016,13.471428571428582,True,,False,-0.018860000000000016,0.0003556996000000006
combined_persona_few_shot__gpt_5_4_mini__reasoning_medium,combined_persona_few_shot__gpt_5_4_mini__reasoning_medium.jsonl,medium,25,snacks,Hummus with Bell Pepper,0.14,0.1764,0.03639999999999999,25.99999999999999,True,,False,0.03639999999999999,0.0013249599999999992
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,0,breakfast,Scrambled Egg & Black Bean Burritos,0.15,0.125,0.024999999999999994,16.666666666666664,True,,False,-0.024999999999999994,0.0006249999999999997
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,1,breakfast,Cranberry Carrot Muffins,0.06,0.059,0.0010000000000000009,1.6666666666666683,True,,True,-0.0010000000000000009,1.0000000000000019e-06
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,2,breakfast,Blueberry Banana Pancakes,0.17,0.181,0.010999999999999982,6.470588235294107,True,,True,0.010999999999999982,0.00012099999999999961
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,3,breakfast,"Cheesy Egg, Bacon & Broccoli Muffins",0.08,0.089,0.008999999999999994,11.249999999999991,True,,False,0.008999999999999994,8.09999999999999e-05
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,4,breakfast,Glorious Green Smoothie Bowl,0.17,0.133,0.037000000000000005,21.764705882352942,True,,False,-0.037000000000000005,0.0013690000000000004
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,5,anytime_meals,Sesame-Ginger Turkey Meatballs,0.04,0.074,0.033999999999999996,84.99999999999999,True,,False,0.033999999999999996,0.0011559999999999997
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,6,anytime_meals,Chicken and Broccoli Piccata,0.13,0.1,0.03,23.076923076923077,True,,False,-0.03,0.0009
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,7,anytime_meals,Chicken Fajitas with Lime Sauce,0.12,0.116,0.00399999999999999,3.333333333333325,True,,True,-0.00399999999999999,1.5999999999999918e-05
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,8,anytime_meals,One-Pot Beef & Mushroom Lasagna,0.09,0.371,0.281,312.2222222222223,True,,False,0.281,0.07896100000000002
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,9,anytime_meals,Pork Tenderloin with Dijon Gravy,0.14,0.068,0.07200000000000001,51.42857142857144,True,,False,-0.07200000000000001,0.005184000000000001
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,10,anytime_meals,Fish Tacos with Crunchy Slaw,0.14,0.16,0.01999999999999999,14.285714285714276,True,,False,0.01999999999999999,0.0003999999999999996
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,11,anytime_meals,Chicken Sausage Garden Pasta,0.04,0.21,0.16999999999999998,424.9999999999999,True,,False,0.16999999999999998,0.028899999999999995
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,12,anytime_meals,Roasted Cauliflower Power Salad,0.12,0.217,0.097,80.83333333333333,True,,False,0.097,0.009409
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,13,anytime_meals,Simple Greek Salad,0.12,0.142,0.021999999999999992,18.333333333333325,True,,False,0.021999999999999992,0.0004839999999999996
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,14,anytime_meals,Apple-Celery Chicken Salad,0.1,0.051,0.04900000000000001,49.00000000000001,True,,False,-0.04900000000000001,0.002401000000000001
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,15,anytime_meals,Harvest Crunch Kale & Chicken Salad,0.19,0.168,0.021999999999999992,11.578947368421048,True,,False,-0.021999999999999992,0.0004839999999999996
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,16,desserts,Citrus-Berry Ricotta Parfaits,0.1,0.064,0.036000000000000004,36.00000000000001,True,,False,-0.036000000000000004,0.0012960000000000003
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,17,desserts,Crispy Rice Cereal Treats,0.02,0.037,0.016999999999999998,84.99999999999999,True,,False,0.016999999999999998,0.0002889999999999999
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,18,desserts,Carob Chip Cranberry Cookies,0.03,0.051,0.020999999999999998,70.0,True,,False,0.020999999999999998,0.00044099999999999993
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,19,desserts,Pumpkin Cinnamon Bars,0.06,0.053,0.006999999999999999,11.666666666666666,True,,False,-0.006999999999999999,4.899999999999999e-05
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,20,desserts,Carob Cupcakes with Cream Cheese Frosting,0.03,0.035,0.0050000000000000044,16.666666666666682,True,,False,0.0050000000000000044,2.5000000000000045e-05
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,21,snacks,Rice Cakes with Peanut Butter and Strawberries,0.16,0.13,0.03,18.75,True,,False,-0.03,0.0009
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,22,snacks,Avocado Toast with Feta,0.23,0.085,0.14500000000000002,63.04347826086957,True,,False,-0.14500000000000002,0.021025000000000005
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,23,snacks,Trail Mix Snack,0.1,0.15,0.04999999999999999,49.999999999999986,True,,False,0.04999999999999999,0.0024999999999999988
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,24,snacks,Almond Butter Apple Snack,0.14,0.19,0.04999999999999999,35.7142857142857,True,,False,0.04999999999999999,0.0024999999999999988
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,medium,25,snacks,Hummus with Bell Pepper,0.14,0.159,0.01899999999999999,13.571428571428562,True,,False,0.01899999999999999,0.0003609999999999996
